complex_id	uniprot_a	uniprot_b	combined_score
P70662	P70662	P70662	1
P70673	P70673	P04797	1
P70673	P70673	P11980	1
P70673	P70673	P48500	1
P70673	P70673	P70673	1
P70696	P70696	P09405	1
P70696	P70696	P17433	1
P70696	P70696	P31809	1
P70696	P70696	P70696	1
P70696	P70696	Q9Z2D6	1
P78325	P78325	P05556	1
P78325	P78325	P78325	1
P78325	P78325	Q13797	1
P78344	P78344	P06730	1
P78344	P78344	P60842	1
P78344	P78344	P78344	1
P78344	P78344	Q04637	1
P78344	P78344	Q9BUB5	1
P78345	P78345	O75817	1
P78345	P78345	O75818	1
P78345	P78345	O95059	1
P78345	P78345	O95707	1
P78345	P78345	P78345	1
P78345	P78345	P78346	1
P78345	P78345	Q969H6	1
P78345	P78345	Q99575	1
P78345	P78345	Q9BUL9	1
P78345	P78345	Q9H633	1
P78346	P78346	O75817	1
P78346	P78346	O75818	1
P78346	P78346	O95059	1
P78346	P78346	O95707	1
P78346	P78346	P78345	1
P78346	P78346	P78346	1
P78346	P78346	Q969H6	1
P78346	P78346	Q99575	1
P78346	P78346	Q9BUL9	1
P78346	P78346	Q9H633	1
P78347	P78347	O00571	1
P78347	P78347	O15111	1
P78347	P78347	O60341	1
P78347	P78347	O75182	1
P78347	P78347	O75362	1
P78347	P78347	O94776	1
P78347	P78347	P19838	1
P78347	P78347	P25963	1
P78347	P78347	P41279	1
P78347	P78347	P62277	1
P78347	P78347	P62888	1
P78347	P78347	P78347	1
P78347	P78347	Q00653	1
P78347	P78347	Q01201	1
P78347	P78347	Q02878	1
P78347	P78347	Q04206	1
P78347	P78347	Q04864	1
P78347	P78347	Q09028	1
P78347	P78347	Q12873	1
P78347	P78347	Q13330	1
P78347	P78347	Q13547	1
P78347	P78347	Q14202	1
P78347	P78347	Q14687	1
P78347	P78347	Q14839	1
P78347	P78347	Q15653	1
P78347	P78347	Q16576	1
P78347	P78347	Q8NFZ5	1
P78347	P78347	Q92769	1
P78347	P78347	Q92896	1
P78347	P78347	Q96BD5	1
P78347	P78347	Q96ST3	1
P78347	P78347	Q9P0W2	1
P78347	P78347	Q9UBW7	1
P78347	P78347	Q9UKL0	1
P78347	P78347	Q9Y6K9	1
P78352	P78352	P06241	1
P78352	P78352	P25054	1
P78352	P78352	P78352	1
P78352	P78352	Q12879	1
P78357	P78357	P16389	1
P78357	P78357	P78357	1
P78357	P78357	Q09470	1
P78357	P78357	Q9NQC3	1
P78364	P78364	O00257	1
P78364	P78364	O60264	1
P78364	P78364	P08107	1
P78364	P78364	P25490	1
P78364	P78364	P35226	1
P78364	P78364	P78364	1
P78364	P78364	Q06587	1
P78364	P78364	Q14781	1
P78364	P78364	Q8IXK0	1
P78364	P78364	Q8NDX5	1
P78364	P78364	Q96GD3	1
P78364	P78364	Q99496	1
P78364	P78364	Q9HC52	1
P78367	P78367	P78367	1
P78367	P78367	Q04724	1
P78367	P78367	Q04725	1
P78367	P78367	Q04726	1
P78367	P78367	Q04727	1
P78367	P78367	Q09028	1
P78367	P78367	Q13547	1
P78367	P78367	Q96ST3	1
P78367	P78367	Q99801	1
P78367	P78367	Q9H2X6	1
P78367	P78367	Q9H808	1
P78371	P78371	P17987	1
P78371	P78371	P40227	1
P78371	P78371	P48643	1
P78371	P78371	P49368	1
P78371	P78371	P50990	1
P78371	P78371	P50991	1
P78371	P78371	P78371	1
P78371	P78371	Q99832	1
P78527	P78527	A8K8P3	1
P78527	P78527	O15297	1
P78527	P78527	O43660	1
P78527	P78527	O75533	1
P78527	P78527	O75934	1
P78527	P78527	P05198	1
P78527	P78527	P09012	1
P78527	P78527	P09661	1
P78527	P78527	P09874	1
P78527	P78527	P11142	1
P78527	P78527	P11388	1
P78527	P78527	P12956	1
P78527	P78527	P13010	1
P78527	P78527	P15884	1
P78527	P78527	P20042	1
P78527	P78527	P23246	1
P78527	P78527	P38159	1
P78527	P78527	P41091	1
P78527	P78527	P55265	1
P78527	P78527	P62136	1
P78527	P78527	P62314	1
P78527	P78527	P62316	1
P78527	P78527	P62318	1
P78527	P78527	P78527	1
P78527	P78527	Q00341	1
P78527	P78527	Q01130	1
P78527	P78527	Q07955	1
P78527	P78527	Q08211	1
P78527	P78527	Q12905	1
P78527	P78527	Q12906	1
P78527	P78527	Q13435	1
P78527	P78527	Q14204	1
P78527	P78527	Q14676	1
P78527	P78527	Q14686	1
P78527	P78527	Q15427	1
P78527	P78527	Q7L1Q6	1
P78527	P78527	Q8IYB3	1
P78527	P78527	Q92616	1
P78527	P78527	Q96SD1	1
P78527	P78527	Q99459	1
P78527	P78527	Q9P013	1
P78527	P78527	Q9UMS4	1
P78527	P78527	Q9UPN6	1
P78537	P78537	O00203	1
P78537	P78537	O14617	1
P78537	P78537	O95295	1
P78537	P78537	P01106	1
P78537	P78537	P53677	1
P78537	P78537	P59780	1
